Fetching salary data...

=== Fetched 154 salary entries ===

season,rank,player_name,team_name,base_salary,bonus,total,note
2021-2022,13,한채진,신한은행,"160,000,000","47,000,000","207,000,000",160,000,000
2021-2022,14,고아라,하나원큐,"175,000,000","10,000,000","185,000,000",185,000,000
2021-2022,15,심성영,KB스타즈,"170,000,000","-","170,000,000",170,000,000
2021-2022,16,김아름,신한은행,"130,000,000","30,000,000","160,000,000",72,000,000
2021-2022,16,최이샘,우리은행,"140,000,000","20,000,000","160,000,000",160,000,000
2021-2022,18,김단비,삼성생명,"130,000,000","20,000,000","160,000,000",80,000,000
2021-2022,18,박지현,우리은행,"140,000,000","10,000,000","150,000,000",106,000,000
2021-2022,18,유승희,신한은행,"130,000,000","20,000,000","150,000,000",60,000,000
2021-2022,21,이경은,신한은행,"110,000,000","30,000,000","140,000,000",110,000,000
2021-2022,22,김민정,KB스타즈,"120,000,000","10,000,000","130,000,000",100,000,000
2021-2022,22,양인영,하나원큐,"120,000,000","10,000,000","130,000,000",121,000,000
2021-2022,24,이소희,BNK 썸,"120,000,000","-","120,000,000",60,000,000
2021-2022,24,구슬,하나원큐,"120,000,000","-","120,000,000",150,000,000
2021-2022,26,한엄지,신한은행,"100,000,000","10,000,000","110,000,000",75,000,000
2021-2022,27,박하나,삼성생명,"60,000,000","40,000,000","100,000,000",60,000,000
2021-2022,27,안혜지,BNK 썸,"80,000,000","20,000,000","100,000,000",300,000,000
