Fetching team stats from DataLab (15 seasons)...

=== Season 2025-2026 (046) ===
  Fetching DataLab: season=043 index=14 (id=04301141)...
  Fetching DataLab: season=043 index=15 (id=04301151)...
  Found 14 stat entries

=== Season 2021-2022 (042) ===
  Fetching DataLab: season=042 index=01 (id=04201011)...
  Fetching DataLab: season=042 index=02 (id=04201021)...
  Fetching DataLab: season=042 index=03 (id=04201031)...
  Fetching DataLab: season=042 index=04 (id=04201041)...
  Fetching DataLab: season=042 index=05 (id=04201051)...
  Fetching DataLab: season=042 index=06 (id=04201061)...
  Fetching DataLab: season=042 index=07 (id=04201071)...
  Fetching DataLab: season=042 index=08 (id=04201081)...
  Fetching DataLab: season=042 index=09 (id=04201091)...
  Fetching DataLab: season=042 index=10 (id=04201101)...
  Fetching DataLab: season=042 index=11 (id=04201111)...
  Fetching DataLab: season=042 index=12 (id=04201121)...
  Fetching DataLab: season=042 index=13 (id=04201131)...
  Fetching DataLab: season=042 index=14 (id=04201141)...
  Fetching DataLab: season=042 index=15 (id=04201151)...
  Found 16 stat entries

=== Season 2020-2021 (041) ===
  Fetching DataLab: season=041 index=01 (id=04101011)...
  Fetching DataLab: season=041 index=02 (id=04101021)...
  Fetching DataLab: season=041 index=03 (id=04101031)...
  Fetching DataLab: season=041 index=04 (id=04101041)...
  Fetching DataLab: season=041 index=05 (id=04101051)...
  Fetching DataLab: season=041 index=06 (id=04101061)...
  Fetching DataLab: season=041 index=07 (id=04101071)...
  Fetching DataLab: season=041 index=08 (id=04101081)...
  Fetching DataLab: season=041 index=09 (id=04101091)...
  Fetching DataLab: season=041 index=10 (id=04101101)...
  Fetching DataLab: season=041 index=11 (id=04101111)...
  Fetching DataLab: season=041 index=12 (id=04101121)...
  Fetching DataLab: season=041 index=13 (id=04101131)...
  Fetching DataLab: season=041 index=14 (id=04101141)...
  Fetching DataLab: season=041 index=15 (id=04101151)...
  Found 16 stat entries

=== Season 2019-2020 (040) ===
  Fetching DataLab: season=040 index=01 (id=04001011)...
  Fetching DataLab: season=040 index=02 (id=04001021)...
  Fetching DataLab: season=040 index=03 (id=04001031)...
  Fetching DataLab: season=040 index=04 (id=04001041)...
  Fetching DataLab: season=040 index=05 (id=04001051)...
  Fetching DataLab: season=040 index=06 (id=04001061)...
  Fetching DataLab: season=040 index=07 (id=04001071)...
  Fetching DataLab: season=040 index=08 (id=04001081)...
  Fetching DataLab: season=040 index=09 (id=04001091)...
  Fetching DataLab: season=040 index=10 (id=04001101)...
  Fetching DataLab: season=040 index=11 (id=04001111)...
  Fetching DataLab: season=040 index=12 (id=04001121)...
  Fetching DataLab: season=040 index=13 (id=04001131)...
  Fetching DataLab: season=040 index=14 (id=04001141)...
  Fetching DataLab: season=040 index=15 (id=04001151)...
  Found 12 stat entries

=== Season 2018-2019 (039) ===
  Fetching DataLab: season=039 index=01 (id=03901011)...
  Fetching DataLab: season=039 index=02 (id=03901021)...
  Fetching DataLab: season=039 index=03 (id=03901031)...
  Fetching DataLab: season=039 index=04 (id=03901041)...
  Fetching DataLab: season=039 index=05 (id=03901051)...
  Fetching DataLab: season=039 index=06 (id=03901061)...
  Fetching DataLab: season=039 index=07 (id=03901071)...
  Fetching DataLab: season=039 index=08 (id=03901081)...
  Fetching DataLab: season=039 index=09 (id=03901091)...
  Fetching DataLab: season=039 index=10 (id=03901101)...
  Fetching DataLab: season=039 index=11 (id=03901111)...
  Fetching DataLab: season=039 index=12 (id=03901121)...
  Fetching DataLab: season=039 index=13 (id=03901131)...
  Fetching DataLab: season=039 index=14 (id=03901141)...
  Fetching DataLab: season=039 index=15 (id=03901151)...
  Found 20 stat entries

=== Season 2017-2018 (038) ===
  Fetching DataLab: season=038 index=01 (id=03801011)...
  Fetching DataLab: season=038 index=02 (id=03801021)...
  Fetching DataLab: season=038 index=03 (id=03801031)...
  Fetching DataLab: season=038 index=04 (id=03801041)...
  Fetching DataLab: season=038 index=05 (id=03801051)...
  Fetching DataLab: season=038 index=06 (id=03801061)...
  Fetching DataLab: season=038 index=07 (id=03801071)...
  Fetching DataLab: season=038 index=08 (id=03801081)...
  Fetching DataLab: season=038 index=09 (id=03801091)...
  Fetching DataLab: season=038 index=10 (id=03801101)...
  Fetching DataLab: season=038 index=11 (id=03801111)...
  Fetching DataLab: season=038 index=12 (id=03801121)...
  Fetching DataLab: season=038 index=13 (id=03801131)...
  Fetching DataLab: season=038 index=14 (id=03801141)...
  Fetching DataLab: season=038 index=15 (id=03801151)...
  Found 18 stat entries

=== Season 2016-2017 (037) ===
  Fetching DataLab: season=037 index=01 (id=03701011)...
  Fetching DataLab: season=037 index=02 (id=03701021)...
  Fetching DataLab: season=037 index=03 (id=03701031)...
  Fetching DataLab: season=037 index=04 (id=03701041)...
  Fetching DataLab: season=037 index=05 (id=03701051)...
  Fetching DataLab: season=037 index=06 (id=03701061)...
  Fetching DataLab: season=037 index=07 (id=03701071)...
  Fetching DataLab: season=037 index=08 (id=03701081)...
  Fetching DataLab: season=037 index=09 (id=03701091)...
  Fetching DataLab: season=037 index=10 (id=03701101)...
  Fetching DataLab: season=037 index=11 (id=03701111)...
  Fetching DataLab: season=037 index=12 (id=03701121)...
  Fetching DataLab: season=037 index=13 (id=03701131)...
  Fetching DataLab: season=037 index=14 (id=03701141)...
  Fetching DataLab: season=037 index=15 (id=03701151)...
  Found 0 stat entries

=== Season 2015-2016 (036) ===
  Fetching DataLab: season=036 index=01 (id=03601011)...
  Fetching DataLab: season=036 index=02 (id=03601021)...
  Fetching DataLab: season=036 index=03 (id=03601031)...
  Fetching DataLab: season=036 index=04 (id=03601041)...
  Fetching DataLab: season=036 index=05 (id=03601051)...
  Fetching DataLab: season=036 index=06 (id=03601061)...
  Fetching DataLab: season=036 index=07 (id=03601071)...
  Fetching DataLab: season=036 index=08 (id=03601081)...
  Fetching DataLab: season=036 index=09 (id=03601091)...
  Fetching DataLab: season=036 index=10 (id=03601101)...
  Fetching DataLab: season=036 index=11 (id=03601111)...
  Fetching DataLab: season=036 index=12 (id=03601121)...
  Fetching DataLab: season=036 index=13 (id=03601131)...
  Fetching DataLab: season=036 index=14 (id=03601141)...
  Fetching DataLab: season=036 index=15 (id=03601151)...
  Found 0 stat entries

=== Season 2014-2015 (035) ===
  Fetching DataLab: season=035 index=01 (id=03501011)...
  Fetching DataLab: season=035 index=02 (id=03501021)...
  Fetching DataLab: season=035 index=03 (id=03501031)...
  Fetching DataLab: season=035 index=04 (id=03501041)...
  Fetching DataLab: season=035 index=05 (id=03501051)...
  Fetching DataLab: season=035 index=06 (id=03501061)...
  Fetching DataLab: season=035 index=07 (id=03501071)...
  Fetching DataLab: season=035 index=08 (id=03501081)...
  Fetching DataLab: season=035 index=09 (id=03501091)...
  Fetching DataLab: season=035 index=10 (id=03501101)...
  Fetching DataLab: season=035 index=11 (id=03501111)...
  Fetching DataLab: season=035 index=12 (id=03501121)...
  Fetching DataLab: season=035 index=13 (id=03501131)...
  Fetching DataLab: season=035 index=14 (id=03501141)...
  Fetching DataLab: season=035 index=15 (id=03501151)...
  Found 0 stat entries

=== Season 2013-2014 (034) ===
  Fetching DataLab: season=034 index=01 (id=03401011)...
  Fetching DataLab: season=034 index=02 (id=03401021)...
  Fetching DataLab: season=034 index=03 (id=03401031)...
  Fetching DataLab: season=034 index=04 (id=03401041)...
  Fetching DataLab: season=034 index=05 (id=03401051)...
  Fetching DataLab: season=034 index=06 (id=03401061)...
  Fetching DataLab: season=034 index=07 (id=03401071)...
  Fetching DataLab: season=034 index=08 (id=03401081)...
  Fetching DataLab: season=034 index=09 (id=03401091)...
  Fetching DataLab: season=034 index=10 (id=03401101)...
  Fetching DataLab: season=034 index=11 (id=03401111)...
  Fetching DataLab: season=034 index=12 (id=03401121)...
  Fetching DataLab: season=034 index=13 (id=03401131)...
  Fetching DataLab: season=034 index=14 (id=03401141)...
  Fetching DataLab: season=034 index=15 (id=03401151)...
  Found 0 stat entries

=== Season 2012-2013 (033) ===
  Fetching DataLab: season=033 index=01 (id=03301011)...
  Fetching DataLab: season=033 index=02 (id=03301021)...
  Fetching DataLab: season=033 index=03 (id=03301031)...
  Fetching DataLab: season=033 index=04 (id=03301041)...
  Fetching DataLab: season=033 index=05 (id=03301051)...
  Fetching DataLab: season=033 index=06 (id=03301061)...
  Fetching DataLab: season=033 index=07 (id=03301071)...
  Fetching DataLab: season=033 index=08 (id=03301081)...
  Fetching DataLab: season=033 index=09 (id=03301091)...
  Fetching DataLab: season=033 index=10 (id=03301101)...
  Fetching DataLab: season=033 index=11 (id=03301111)...
  Fetching DataLab: season=033 index=12 (id=03301121)...
  Fetching DataLab: season=033 index=13 (id=03301131)...
  Fetching DataLab: season=033 index=14 (id=03301141)...
  Fetching DataLab: season=033 index=15 (id=03301151)...
  Found 0 stat entries

=== Season 2011-2012 (032) ===
  Fetching DataLab: season=032 index=01 (id=03201011)...
  Fetching DataLab: season=032 index=02 (id=03201021)...
  Fetching DataLab: season=032 index=03 (id=03201031)...
  Fetching DataLab: season=032 index=04 (id=03201041)...
  Fetching DataLab: season=032 index=05 (id=03201051)...
  Fetching DataLab: season=032 index=06 (id=03201061)...
  Fetching DataLab: season=032 index=07 (id=03201071)...
  Fetching DataLab: season=032 index=08 (id=03201081)...
  Fetching DataLab: season=032 index=09 (id=03201091)...
  Fetching DataLab: season=032 index=10 (id=03201101)...
  Fetching DataLab: season=032 index=11 (id=03201111)...
  Fetching DataLab: season=032 index=12 (id=03201121)...
  Fetching DataLab: season=032 index=13 (id=03201131)...
  Fetching DataLab: season=032 index=14 (id=03201141)...
  Fetching DataLab: season=032 index=15 (id=03201151)...
  Found 0 stat entries

=== Fetched 136 team stat entries ===

season,team,opponent,score_avg,reb_avg,ast_avg,stl_avg,blk_avg,fg_pct,three_pct,ft_pct
046,하나은행,KB스타즈,66.83,37.50,18.96,6.50,2.96,0.00,0.00,0.00
046,KB스타즈,하나은행,75.17,42.08,19.25,6.71,2.83,0.00,0.00,0.00
046,KB스타즈,BNK썸,69.60,40.72,18.92,5.80,2.84,0.00,0.00,0.00
046,BNK썸,KB스타즈,64.68,40.04,16.16,5.76,1.40,0.00,0.00,0.00
046,우리은행,하나은행,67.69,46.27,16.88,6.73,3.81,0.00,0.00,0.00
046,하나은행,우리은행,57.77,39.88,14.62,5.69,2.88,0.00,0.00,0.00
046,BNK썸,신한은행,68.65,42.31,17.88,5.15,1.73,0.00,0.00,0.00
046,신한은행,BNK썸,67.65,38.50,18.23,5.50,2.38,0.00,0.00,0.00
046,BNK썸,KB스타즈,64.96,39.89,16.30,5.63,1.41,0.00,0.00,0.00
046,KB스타즈,BNK썸,69.93,40.11,18.96,5.78,2.70,0.00,0.00,0.00
045,우리은행,하나은행,71.25,46.29,18.50,6.88,4.79,0.00,0.00,0.00
045,하나은행,우리은행,58.58,38.00,14.75,5.96,3.00,0.00,0.00,0.00
045,KB스타즈,신한은행,73.24,40.68,19.84,6.48,2.80,0.00,0.00,0.00
045,신한은행,KB스타즈,67.92,37.68,17.40,6.80,1.96,0.00,0.00,0.00
045,신한은행,KB스타즈,67.77,37.85,17.38,6.81,2.00,0.00,0.00,0.00
045,KB스타즈,신한은행,72.65,40.42,19.62,6.62,2.88,0.00,0.00,0.00
045,우리은행,KB스타즈,69.19,38.54,18.00,6.12,2.50,0.00,0.00,0.00
045,KB스타즈,우리은행,65.23,41.12,16.31,4.92,2.23,0.00,0.00,0.00
045,KB스타즈,우리은행,64.52,40.96,16.22,5.04,2.22,0.00,0.00,0.00
045,우리은행,KB스타즈,68.56,38.78,17.67,5.96,2.48,0.00,0.00,0.00
045,BNK썸,삼성생명,68.71,38.21,16.82,6.18,1.71,0.00,0.00,0.00
045,삼성생명,BNK썸,70.86,37.89,18.39,6.96,2.46,0.00,0.00,0.00
045,우리은행,삼성생명,67.04,41.00,14.86,6.61,2.50,0.00,0.00,0.00
045,삼성생명,우리은행,60.93,38.71,15.25,7.36,2.32,0.00,0.00,0.00
045,우리은행,신한은행,72.31,41.31,17.34,5.48,3.31,0.00,0.00,0.00
045,신한은행,우리은행,64.66,36.41,15.38,5.07,1.83,0.00,0.00,0.00
044,하나은행,KB스타즈,70.63,37.04,18.54,7.54,2.83,0.00,0.00,0.00
044,KB스타즈,하나은행,78.88,41.92,19.96,6.25,3.08,0.00,0.00,0.00
044,삼성생명,BNK썸,71.79,40.13,17.96,7.04,2.17,0.00,0.00,0.00
044,BNK썸,삼성생명,71.17,38.25,16.50,6.71,1.71,0.00,0.00,0.00
044,BNK썸,하나은행,73.64,45.04,18.28,6.00,2.60,0.00,0.00,0.00
044,하나은행,BNK썸,68.88,38.88,15.84,7.08,3.36,0.00,0.00,0.00
044,우리은행,삼성생명,69.31,43.00,16.08,6.85,2.54,0.00,0.00,0.00
044,삼성생명,우리은행,60.15,37.77,15.15,7.54,2.42,0.00,0.00,0.00
044,KB스타즈,우리은행,65.11,40.93,16.19,4.78,2.41,0.00,0.00,0.00
044,우리은행,KB스타즈,69.26,39.44,17.30,5.96,2.52,0.00,0.00,0.00
044,KB스타즈,BNK썸,72.75,41.00,19.39,6.18,3.39,0.00,0.00,0.00
044,BNK썸,KB스타즈,66.18,38.36,16.39,5.79,1.32,0.00,0.00,0.00
044,신한은행,KB스타즈,67.63,38.11,17.11,6.74,2.22,0.00,0.00,0.00
044,KB스타즈,신한은행,73.22,41.04,19.00,6.48,2.85,0.00,0.00,0.00
043,BNK썸,신한은행,67.28,37.44,16.28,6.67,1.61,0.00,0.00,0.00
043,신한은행,BNK썸,74.11,40.89,16.94,5.89,3.89,0.00,0.00,0.00
043,삼성생명,우리은행,62.08,37.19,14.92,7.08,2.15,0.00,0.00,0.00
043,우리은행,삼성생명,70.58,43.19,15.54,6.42,2.31,0.00,0.00,0.00
043,신한은행,삼성생명,69.70,42.15,16.26,6.26,3.07,0.00,0.00,0.00
043,삼성생명,신한은행,70.15,39.56,15.96,9.22,2.48,0.00,0.00,0.00
043,BNK썸,우리은행,59.40,37.85,15.40,4.60,1.55,0.00,0.00,0.00
043,우리은행,BNK썸,71.00,42.50,17.40,6.00,4.20,0.00,0.00,0.00
043,삼성생명,KB스타즈,67.04,35.75,17.57,9.64,2.29,0.00,0.00,0.00
043,KB스타즈,삼성생명,70.82,40.50,16.57,7.32,2.43,0.00,0.00,0.00
043,KB스타즈,신한은행,74.11,40.07,18.96,6.50,2.75,0.00,0.00,0.00
043,신한은행,KB스타즈,66.79,38.04,17.11,6.36,2.57,0.00,0.00,0.00
043,KB스타즈,삼성생명,71.41,40.41,16.90,7.31,2.41,0.00,0.00,0.00
043,삼성생명,KB스타즈,67.03,35.41,17.62,9.59,2.24,0.00,0.00,0.00
042,신한은행,삼성생명,68.42,40.92,15.58,6.81,3.35,0.00,0.00,0.00
042,삼성생명,신한은행,71.23,39.58,15.42,9.69,2.88,0.00,0.00,0.00
042,KB스타즈,BNK썸,73.62,43.31,19.85,6.23,4.31,0.00,0.00,0.00
042,BNK썸,KB스타즈,66.15,36.31,16.00,6.38,1.46,0.00,0.00,0.00
042,KB스타즈,하나은행,77.64,42.96,19.50,7.54,3.57,0.00,0.00,0.00
042,하나은행,KB스타즈,67.39,36.11,16.14,7.11,2.61,0.00,0.00,0.00
042,우리은행,KB스타즈,67.18,37.82,15.00,6.11,2.64,0.00,0.00,0.00
042,KB스타즈,우리은행,66.82,40.86,14.89,4.64,3.32,0.00,0.00,0.00
042,하나은행,우리은행,61.04,37.29,13.82,5.79,2.43,0.00,0.00,0.00
042,우리은행,하나은행,72.00,45.29,16.11,6.32,4.07,0.00,0.00,0.00
042,하나은행,BNK썸,71.87,39.20,15.93,6.53,3.67,0.00,0.00,0.00
042,BNK썸,하나은행,73.07,41.73,17.93,5.67,2.67,0.00,0.00,0.00
042,삼성생명,KB스타즈,66.72,37.41,16.34,9.79,2.31,0.00,0.00,0.00
042,KB스타즈,삼성생명,72.31,42.00,15.86,7.21,3.41,0.00,0.00,0.00
042,하나은행,신한은행,71.97,39.39,17.32,6.94,3.23,0.00,0.00,0.00
042,신한은행,하나은행,72.71,39.48,16.65,7.61,3.65,0.00,0.00,0.00
041,하나은행,KB스타즈,65.52,35.85,14.93,7.59,1.89,0.00,0.00,0.00
041,KB스타즈,하나은행,72.89,41.04,17.37,8.52,3.67,0.00,0.00,0.00
041,우리은행,신한은행,72.33,45.07,15.30,6.15,3.78,0.00,0.00,0.00
041,신한은행,우리은행,57.30,37.07,12.78,5.78,2.63,0.00,0.00,0.00
041,삼성생명,하나은행,76.14,41.00,16.36,10.82,3.11,0.00,0.00,0.00
041,하나은행,삼성생명,75.36,40.79,16.61,8.39,2.25,0.00,0.00,0.00
041,삼성생명,신한은행,70.59,39.86,14.48,9.48,2.97,0.00,0.00,0.00
041,신한은행,삼성생명,66.79,40.55,14.97,7.00,3.83,0.00,0.00,0.00
041,KB스타즈,신한은행,72.38,40.17,16.48,7.62,3.21,0.00,0.00,0.00
041,신한은행,KB스타즈,62.55,36.59,14.48,7.55,3.28,0.00,0.00,0.00
041,BNK썸,우리은행,59.89,36.44,15.22,4.00,1.33,0.00,0.00,0.00
041,우리은행,BNK썸,70.44,42.11,16.78,6.67,4.56,0.00,0.00,0.00
041,BNK썸,하나은행,70.00,39.89,17.89,5.78,2.89,0.00,0.00,0.00
041,하나은행,BNK썸,69.67,39.44,15.11,7.44,2.67,0.00,0.00,0.00
041,하나은행,BNK썸,70.60,39.20,14.70,7.20,3.20,0.00,0.00,0.00
041,BNK썸,하나은행,70.70,39.20,17.40,5.80,2.70,0.00,0.00,0.00
040,BNK썸,신한은행,68.00,23.00,18.00,9.00,1.00,0.00,0.00,0.00
040,신한은행,BNK썸,73.00,40.00,16.00,9.00,3.00,0.00,0.00,0.00
040,삼성생명,KB스타즈,65.57,40.50,14.63,9.23,3.57,0.00,0.00,0.00
040,KB스타즈,삼성생명,68.53,42.17,13.77,8.57,3.43,0.00,0.00,0.00
040,BNK썸,삼성생명,72.50,33.00,19.50,9.50,2.00,0.00,0.00,0.00
040,삼성생명,BNK썸,78.00,43.00,20.50,8.50,1.50,0.00,0.00,0.00
040,하나은행,삼성생명,72.42,41.39,15.58,8.16,2.45,0.00,0.00,0.00
040,삼성생명,하나은행,73.81,39.81,15.68,11.26,3.68,0.00,0.00,0.00
040,BNK썸,KB스타즈,61.25,35.00,15.25,6.00,0.50,0.00,0.00,0.00
040,KB스타즈,BNK썸,72.00,41.25,19.00,8.00,2.75,0.00,0.00,0.00
040,KB스타즈,BNK썸,70.00,41.80,18.40,9.00,3.60,0.00,0.00,0.00
040,BNK썸,KB스타즈,60.40,35.40,15.00,7.20,0.40,0.00,0.00,0.00
039,하나은행,삼성생명,69.75,39.43,14.93,8.00,2.93,0.00,0.00,0.00
039,삼성생명,하나은행,71.18,39.18,14.50,10.71,3.68,0.00,0.00,0.00
039,우리은행,신한은행,69.10,43.07,14.17,6.07,4.24,0.00,0.00,0.00
039,신한은행,우리은행,57.93,38.93,12.24,5.28,2.83,0.00,0.00,0.00
039,하나은행,신한은행,66.30,39.20,14.20,7.70,2.93,0.00,0.00,0.00
039,신한은행,하나은행,65.27,39.70,14.53,7.47,3.30,0.00,0.00,0.00
039,하나원큐,신한은행,67.50,39.50,20.00,6.00,2.50,0.00,0.00,0.00
039,신한은행,하나원큐,65.00,41.50,13.00,4.00,4.50,0.00,0.00,0.00
039,삼성생명,우리은행,58.81,37.81,11.26,6.55,3.16,0.00,0.00,0.00
039,우리은행,삼성생명,70.94,43.68,14.87,7.10,3.81,0.00,0.00,0.00
039,하나은행,KB스타즈,68.09,39.19,15.22,7.38,2.97,0.00,0.00,0.00
039,KB스타즈,하나은행,69.97,40.19,15.31,8.44,3.72,0.00,0.00,0.00
039,삼성생명,KB스타즈,65.00,40.09,14.41,9.13,3.63,0.00,0.00,0.00
039,KB스타즈,삼성생명,67.66,40.44,13.59,8.31,3.81,0.00,0.00,0.00
039,하나원큐,삼성생명,68.00,37.40,15.80,8.00,2.00,0.00,0.00,0.00
039,삼성생명,하나원큐,82.80,44.20,17.60,8.20,2.80,0.00,0.00,0.00
039,삼성생명,하나원큐,83.83,45.50,17.67,8.17,3.50,0.00,0.00,0.00
039,하나원큐,삼성생명,70.17,40.17,15.67,7.83,1.83,0.00,0.00,0.00
039,KB스타즈,하나원큐,68.33,47.17,18.00,6.67,4.33,0.00,0.00,0.00
039,하나원큐,KB스타즈,54.33,38.83,12.67,6.17,2.33,0.00,0.00,0.00
038,우리은행,삼성생명,69.25,42.93,14.75,6.75,4.04,0.00,0.00,0.00
038,삼성생명,우리은행,58.61,35.32,11.79,6.64,3.18,0.00,0.00,0.00
038,KB스타즈,08,68.45,37.03,14.38,7.76,2.86,0.00,0.00,0.00
038,08,KB스타즈,63.14,37.55,15.21,6.66,2.90,0.00,0.00,0.00
038,신한은행,08,67.27,39.53,15.87,7.70,3.20,0.00,0.00,0.00
038,08,신한은행,63.13,35.17,14.10,6.97,2.80,0.00,0.00,0.00
038,08,우리은행,60.77,35.10,13.87,6.00,3.13,0.00,0.00,0.00
038,우리은행,08,71.90,40.57,16.60,6.67,3.53,0.00,0.00,0.00
038,삼성생명,우리은행,59.63,35.72,11.91,6.50,3.13,0.00,0.00,0.00
038,우리은행,삼성생명,70.22,42.47,15.34,6.88,3.91,0.00,0.00,0.00
038,신한은행,삼성생명,63.03,39.66,13.31,7.88,4.28,0.00,0.00,0.00
038,삼성생명,신한은행,61.94,39.56,12.81,7.81,3.56,0.00,0.00,0.00
038,신한은행,우리은행,61.36,38.52,12.61,5.70,3.12,0.00,0.00,0.00
038,우리은행,신한은행,70.39,42.09,14.45,6.06,4.15,0.00,0.00,0.00
038,신한은행,하나은행,67.21,38.38,15.00,7.91,3.09,0.00,0.00,0.00
038,하나은행,신한은행,65.09,37.59,14.15,7.41,2.91,0.00,0.00,0.00
038,하나은행,우리은행,61.65,37.03,12.59,6.44,2.74,0.00,0.00,0.00
038,우리은행,하나은행,71.24,41.41,16.03,6.71,3.06,0.00,0.00,0.00
